Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
965,2122,1098,63,21,9999,0,970,0,3786,3672,2,2,1382,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,60,34,22,36,40,35,5,60,36,13,0,0,13511,1181,0,898,184,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
1965,2122,1098,63,21,9999,0,976,0,3806,3714,2,2,1382,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,60,34,22,36,40,35,5,60,36,13,0,0,13511,1181,0,898,184,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
2965,2122,1098,63,21,9999,0,1020,0,3806,3882,2,2,1382,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,60,34,22,36,40,35,5,60,36,13,0,0,13511,1181,0,898,184,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0
3966,2122,1098,63,21,9999,0,966,0,3806,3676,2,2,1382,490,2000,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,60,34,22,36,40,35,5,60,36,13,0,0,13511,1181,0,898,184,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0
4965,2122,1098,63,22,9999,0,1086,0,3806,4133,4,3,1478,490,2000,0,0,1,72,0,0,0,20,0,0,0,0,0,1590,0,60,30,31,42,28,23,27,60,26,5,0,0,13511,1181,0,898,184,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5965,2122,1098,63,22,9999,0,1320,0,3806,5023,4,3,1478,490,2000,0,0,4,72,33,0,0,72,0,0,1440,1584,0,898,0,58,31,34,43,40,45,58,54,43,30,0,0,13511,1181,0,898,184,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6966,2122,1098,63,22,9999,0,1337,0,3772,5043,4,3,1478,490,2000,0,0,31,72,59,0,32,49,0,0,1440,1584,5909,872,0,37,36,36,27,38,37,26,27,6,50,0,0,13511,1181,0,898,184,1083,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7965,2122,1098,63,22,9999,0,1406,0,3772,5303,4,3,1478,490,2000,0,0,52,72,50,0,39,22,0,0,1440,1584,7214,1423,300,33,39,35,40,43,28,30,33,16,66,0,0,13511,1181,0,898,184,1083,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,100
8966,2122,1098,63,22,9999,0,1283,0,3772,4839,4,3,1478,490,2000,0,0,66,72,57,1,70,2,0,0,1440,1584,8497,1379,292,66,47,42,39,31,59,15,66,33,15,0,0,13511,1181,0,898,184,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,100
9965,2122,1098,63,22,9999,0,1500,0,3772,5763,4,3,1478,490,2000,0,0,39,72,57,0,39,35,0,1,1440,1584,12700,1385,291,77,30,22,45,22,77,66,76,21,32,0,0,13511,1181,0,898,184,1083,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,100
